id,name,date,value
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-29T13:00Z,41103
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-29T14:00Z,42977
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-29T15:00Z,46560
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-29T16:00Z,50172
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-29T17:00Z,53429
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-29T18:00Z,56451
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-29T19:00Z,59189
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-29T20:00Z,61166
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-29T21:00Z,62417
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-29T22:00Z,62865
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-29T23:00Z,62345
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30,60521
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T01:00Z,58748
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T02:00Z,57004
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T03:00Z,54120
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T04:00Z,50787
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T05:00Z,47208
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T06:00Z,44339
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T07:00Z,42364
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T08:00Z,41167
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T09:00Z,40680
