id,name,date,value
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201229T09Z,26851
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201229T08Z,28141
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201229T07Z,30094
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201229T06Z,32018
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201229T05Z,33615
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201229T04Z,34645
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201229T03Z,35323
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201229T02Z,35258
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201229T01Z,32570
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201229T00Z,31020
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T23Z,30045
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T22Z,29466
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T21Z,28978
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T20Z,28693
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T19Z,28829
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T18Z,29528
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T17Z,29640
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T16Z,29131
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T15Z,27763
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T14Z,25822
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T13Z,24395
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T12Z,23834
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T11Z,23956
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T10Z,24374
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T09Z,25334
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T08Z,26609
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T07Z,28614
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T06Z,30182
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T05Z,31238
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T04Z,32023
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T03Z,32416
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T02Z,31777
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T01Z,28463
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201228T00Z,25973
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T23Z,24499
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T22Z,24259
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T21Z,24686
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T20Z,25041
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T19Z,25745
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T18Z,26056
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T17Z,25582
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T16Z,25166
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T15Z,24879
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T14Z,24107
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T13Z,23583
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T12Z,23582
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T11Z,23909
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T10Z,24426
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T09Z,25296
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T08Z,26581
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T07Z,28212
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T06Z,29750
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T05Z,30711
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T04Z,31317
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T03Z,31812
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T02Z,31340
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T01Z,27696
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201227T00Z,25458
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T23Z,24225
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T22Z,23944
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T21Z,23754
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T20Z,24010
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T19Z,24493
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T18Z,24872
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T17Z,25218
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T16Z,25214
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T15Z,24877
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T14Z,23888
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T13Z,23273
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T12Z,23103
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T11Z,23256
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T10Z,23700
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T09Z,24501
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T08Z,25678
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T07Z,27227
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T06Z,28570
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T05Z,29275
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T04Z,29851
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T03Z,30506
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T02Z,30534
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T01Z,28066
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201226T00Z,26213
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T23Z,25127
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T22Z,24527
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T21Z,24124
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T20Z,24296
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T19Z,24706
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T18Z,25301
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T17Z,25858
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T16Z,26028
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T15Z,25702
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T14Z,24765
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T13Z,24183
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T12Z,24188
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T11Z,24552
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T10Z,25174
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T09Z,25961
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T08Z,27304
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T07Z,28782
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T06Z,30183
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T05Z,31016
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T04Z,31887
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T03Z,32850
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T02Z,33380
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T01Z,30903
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201225T00Z,29379
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201224T23Z,28714
EBA.CAL-ALL.D.H,"Demand for California (region), hourly - UTC time",20201224T22Z,28315
